activation,batch_size,learn_rate,loss,momentum,nb_epoch,optimizer,mean_test_score,std_test_score,mean_fit_time
exponential,100,0.01,Poisson,0.0,10,Nadam,0.9423166712125143,0.0020681570258916445,1.8964238961537678
exponential,100,0.5,CategoricalCrossentropy,0.0,10,Adam,0.9421666661898295,0.0025460110242400244,1.2778337796529133
relu,100,0.01,Poisson,0.0,10,Nadam,0.9421000083287557,0.0008841254054246694,1.7966405550638835
exponential,100,0.1,Poisson,0.0,10,Nadam,0.9420666694641113,0.004788223470037438,1.9176937739054363
exponential,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9417666792869568,0.0029366530288202344,1.1737596193949382
relu,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.9417666594187418,0.006362563834463794,1.523679256439209
exponential,100,0.1,BinaryCrossentropy,0.0,10,Nadam,0.9414666692415873,0.0036056169134839125,1.8614238103230794
relu,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.941433330376943,0.0010085673748506086,1.1964553197224934
swish,100,1.0,CategoricalCrossentropy,0.0,10,Adam,0.9413999915122986,0.004065306331848401,1.3143874804178874
relu,100,0.01,Poisson,0.0,10,Adam,0.9409999847412109,0.0015895554859843405,1.2031696637471516
exponential,100,0.5,Poisson,0.0,10,Adam,0.9407666722933451,0.0011897749392380317,1.2985730171203613
exponential,100,0.1,Poisson,0.0,10,Adam,0.9407333135604858,0.003184955376252415,1.1382604440053303
swish,100,1.0,CategoricalCrossentropy,0.0,10,RMSprop,0.9405999978383383,0.002639106598738565,1.5515704949696858
swish,100,0.5,CategoricalCrossentropy,0.0,10,Adam,0.9405499895413717,0.00036286447578080767,1.3323066234588623
exponential,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.9405333399772644,0.0017341292706520317,1.1971227327982585
exponential,100,1.0,Poisson,0.0,10,Adam,0.9404333432515463,0.0019707487593244957,1.3106313546498616
exponential,100,0.01,BinaryCrossentropy,0.0,10,RMSprop,0.940416673819224,0.002554843015323356,1.5621947447458904
exponential,100,1.0,CategoricalCrossentropy,0.0,10,RMSprop,0.9403500159581503,0.0031496009533662846,1.4770197868347168
relu,100,0.1,Poisson,0.0,10,Adam,0.9403499960899353,0.0023498236773318373,1.2983590761820476
exponential,100,0.5,Poisson,0.0,10,Nadam,0.9402166803677877,0.006047919960919716,1.768372615178426
exponential,100,1.0,CategoricalCrossentropy,0.0,10,Adam,0.9401833415031433,0.005569321413010372,1.218866507212321
relu,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9400499860445658,0.001397012821921651,1.3303640683492024
relu,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.9399666786193848,0.009848879110619308,1.6507019996643066
exponential,100,0.5,CategoricalCrossentropy,0.0,10,RMSprop,0.9398166537284851,0.003556767482615313,1.8256000677744548
swish,100,1.0,CategoricalCrossentropy,0.0,10,Nadam,0.9398000041643778,0.0028145452825372678,1.9366072018941243
swish,100,0.1,CategoricalCrossentropy,0.0,10,Adam,0.9397333264350891,0.00610266038996292,1.3014557361602783
relu,100,0.01,BinaryCrossentropy,0.0,10,Adam,0.93954998254776,0.00177623476950585,1.1894140243530273
relu,100,0.5,Poisson,0.0,10,Adam,0.9392499923706055,0.0018533789346593598,1.183981974919637
exponential,100,0.01,Poisson,0.0,10,Adam,0.9392333428064982,0.0028578420419309455,1.1468721230824788
exponential,100,0.1,CategoricalCrossentropy,0.0,10,Adam,0.9391499956448873,0.0014905430343805978,1.2320082187652588
exponential,100,1.0,Poisson,0.0,10,RMSprop,0.93913334608078,0.00024609565176659213,1.3882004419962566
exponential,100,0.01,CategoricalCrossentropy,0.0,10,Nadam,0.9391166567802429,0.002281934522469541,1.8295499483744304
relu,100,0.1,BinaryCrossentropy,0.0,10,Adam,0.9390333294868469,0.003886369037108834,1.2413315773010254
swish,100,0.5,CategoricalCrossentropy,0.0,10,Nadam,0.938949982325236,0.002124853490382869,2.2007768948872886
swish,100,0.01,CategoricalCrossentropy,0.0,10,Adam,0.9382666746775309,0.0034967511755969556,1.31812850634257
exponential,100,0.01,Poisson,0.0,10,RMSprop,0.9379166563351949,0.0020372705756645836,1.4074596563975017
exponential,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.9379000067710876,0.0032629225436568263,1.4567780494689941
swish,100,0.1,BinaryCrossentropy,0.0,10,RMSprop,0.9377666711807251,0.001280824445376581,1.506471872329712
exponential,100,0.1,Poisson,0.0,10,RMSprop,0.9375166694323221,0.0043290279373627465,1.3981870810190837
swish,100,0.1,CategoricalCrossentropy,0.0,10,Nadam,0.9371833205223083,0.0019297342809867408,1.8965468406677246
relu,100,1.0,Poisson,0.0,10,Adam,0.9370833237965902,0.002267257280519079,1.1763110955556233
exponential,100,0.1,BinaryCrossentropy,0.0,10,RMSprop,0.9367333253224691,0.0011047955475193818,1.4566748936971028
swish,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.9365333517392477,0.0036217637625935322,1.5522092978159587
swish,100,0.01,Poisson,0.0,10,RMSprop,0.9362499912579855,0.0006177929782197866,1.4608986377716064
swish,100,0.5,BinaryCrossentropy,0.0,10,RMSprop,0.9362000028292338,0.0026213798998425374,1.712939739227295
swish,100,1.0,Poisson,0.0,10,RMSprop,0.9359166622161865,0.0027755968033307057,1.5127009550730388
exponential,100,0.1,CategoricalCrossentropy,0.0,10,Nadam,0.935783326625824,0.0053768614242338955,1.8157650629679363
exponential,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.935533344745636,0.007656855900347833,1.498837153116862
swish,100,1.0,BinaryCrossentropy,0.0,10,RMSprop,0.9354833364486694,0.004500820371395096,1.6273316542307537
swish,100,0.5,Poisson,0.0,10,RMSprop,0.9348499973615011,0.0005354012674709741,1.5040966669718425
swish,100,0.01,BinaryCrossentropy,0.0,10,RMSprop,0.9345166683197021,0.00023919599169150514,1.5409609476725261
exponential,100,0.5,BinaryCrossentropy,0.0,10,RMSprop,0.9343499938646952,0.0031804161532911213,1.4524985154469807
swish,100,0.5,CategoricalCrossentropy,0.0,10,RMSprop,0.9338500102361044,0.004845792522031612,1.5372389157613118
swish,100,0.1,Poisson,0.0,10,RMSprop,0.9338499903678894,0.0014531463612049563,1.4666620095570881
swish,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.933566669623057,0.00453950629238742,1.6454992294311523
swish,100,0.01,CategoricalCrossentropy,0.0,10,Nadam,0.9328333338101705,0.0035567544485749325,1.8982428709665935
exponential,100,0.5,Poisson,0.0,10,RMSprop,0.9328166643778483,0.0019062886933421004,1.435327688852946
swish,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.9317833383878072,0.0005948874696190159,1.2995961507161458
swish,100,1.0,BinaryCrossentropy,0.0,10,Nadam,0.9314833482106527,0.002276813297030779,1.9352030754089355
swish,100,0.01,BinaryCrossentropy,0.0,10,Adam,0.9309500058492025,0.0027316063800695736,1.3101328214009602
swish,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9306666652361552,0.0026771650511181414,1.2738381226857503
swish,100,0.1,Poisson,0.0,10,Nadam,0.9306333263715109,0.00023213125306722682,1.799448808034261
swish,100,0.01,BinaryCrossentropy,0.0,10,Nadam,0.930216650168101,0.0015664918233928712,2.1597720781962075
swish,100,0.01,Poisson,0.0,10,Adam,0.9300333460172018,0.0017147973948073698,1.229433536529541
swish,100,0.01,Poisson,0.0,10,Nadam,0.929966668287913,0.0007486981169558268,1.8364510536193848
swish,100,0.1,Poisson,0.0,10,Adam,0.9297166665395101,0.0016443469676718939,1.2222201029459636
swish,100,0.5,BinaryCrossentropy,0.0,10,Nadam,0.9294833342234293,0.003183633229657309,1.8571449120839436
swish,100,0.1,BinaryCrossentropy,0.0,10,Adam,0.9293666879336039,0.0017147973948073698,1.2440311113993328
swish,100,1.0,Poisson,0.0,10,Adam,0.9293166597684225,0.0029510752803485,1.4439821243286133
swish,100,0.1,BinaryCrossentropy,0.0,10,Nadam,0.9292500019073486,0.002609926051564804,1.8424301147460938
swish,100,0.5,Poisson,0.0,10,Nadam,0.929099977016449,0.0031016121394831665,1.8932545185089111
swish,100,1.0,Poisson,0.0,10,Nadam,0.9282833337783813,0.0027599506550747767,1.8787716229756672
swish,100,0.5,Poisson,0.0,10,Adam,0.9279499848683676,0.0015400275557256682,1.2535710334777832
